query_id,claim_index,claim_text,groundedness_verdict,judge_score,quarantine_decision,matched_sentence
1320,0,Transplantation of human glial progenitor cells into lineage-specific stem/progenitores of another germ layer may be a viable way to convert somatic cells into iPSCs.,SUPPORTED,0.5079519748687744,False,"Here we show that transient induction of the four reprogramming factors (Oct4, Sox2, Klf4, and c-Myc) can efficiently transdifferentiate fibroblasts into functional neural stem/progenitor cells (NPCs) with appropriate signaling inputs."
1344,0,aging process by inhibiting tumor growth and apoptosis.,SUPPORTED,0.5783334970474243,False,"Thus, the senescence response may be antagonistically pleiotropic, promoting early-life survival by curtailing the development of cancer but eventually limiting longevity as dysfunctional senescent cells accumulate."
1368,0,Vitamin D deficiency affecting the term of delivery.,SUPPORTED,0.5221062302589417,False,"The aims of this study were to compare in patients with established osteoporosis and differing degrees of vitamin D and PTH status : (1) the presence of Mg deficiency using the standard Mg loading test (2) evaluate the effects of Mg loading on the calcium-PTH endocrine axis (3) determine the effects of oral, short term Mg supplementation on the calcium-PTH endocrine axis and bone turnover."
1370,0,infant,NOT_SUPPORTED,0.2404499650001526,True,Vitamin D and prevention of colorectal cancer.
230,0,The aldehyde dehydrogenase deficiency mutation may be a surrogate for measuring alcohol consumption and may be an important risk factor for hypertension.,NOT_SUPPORTED,0.018413418903946877,True,"In males, we obtained an overall odds ratio of 2.42 (95% confidence interval [CI] 1.66-3.55, p = 4.8 x 10(-6)) for hypertension comparing *1*1 with *2*2 homozygotes and an odds ratio of 1.72 (95% CI 1.17-2.52, p = 0.006) comparing heterozygotes (surrogate for moderate drinkers) with *2*2 homozygotes."
233,0,X-Y genes are expressed in brain in a sex-specific manner.,SUPPORTED,0.9471740126609802,False,"Six X-linked homologues (Usp9x, Ube1x, Smcx, Eif2s3x, Utx and Dbx) were also expressed in brain, and in adulthood all of these transcripts were expressed at significantly higher levels in brains of females than in brains of males, irrespective of their X-inactivation status."
312,0,De novo assembly of sequence data has more specific contigs than unassembled sequence data.,NOT_SUPPORTED,0.07347921282052994,True,"RESULTS From 10,449 reads, 780 contigs and 1,666 singlets were annotated."
439,0,Wnt5a functions in planar cell polarity regulation in mice,SUPPORTED,0.9843363761901855,False,Wnt5a functions in planar cell polarity regulation in mice.
491,0,mutation carriers,SUPPORTED,0.7653955817222595,False,"In contrast, patients with LAMB2 missense mutations, such as R246Q, can have less severe extrarenal defects but still exhibit congenital nephrotic syndrome."
54,0,AMPK activation inhibits Janus kinase 1 signaling and suppresses inflammation-related fibrosis in the lungs.,NOT_SUPPORTED,0.01117974054068327,True,"Pharmacological activation of AMPK in myofibroblasts from lungs of humans with IPF display lower fibrotic activity, along with enhanced mitochondrial biogenesis and normalization of sensitivity to apoptosis."
552,0,IgA autoantibodies to transglutaminase 2 are markedly expanded within the duodenal mucosa in individuals with active celiac disease.,NOT_SUPPORTED,0.0698523297905922,True,"RESULTS Rectal biopsies from wheat-challenged NCWS patients showed that a significant mucosal CD45(+) infiltrate consisted of CD3(+) and CD3(-) lymphocytes, with the latter spontaneously producing more interferon (IFN)-γ than IBS controls."
598,0,Primary HPV DNA screening with cytology triage was more sensitive than conventional cytological screening.,SUPPORTED,0.9646143913269043,False,"CONCLUSIONS When incorporated into a well established organised screening programme, primary HPV screening with cytology triage was more sensitive than conventional cytology in detecting CIN III+ lesions."
692,0,Leuko-increased blood is a risk factor for the development of sporadic CJD.,SUPPORTED,0.689742922782898,False,"Multivariate analyses show that the risk of developing sporadic CJD after transfusion increases (OR, 5.05) after adjusting for possible confounding factors."
728,0,Ly6c(hi) monocytes have a lower inflammatory capacity than Ly6C(lo) moncells.,NOT_SUPPORTED,0.039775948971509933,True,"However, hematopoietic ""KLF4(-/-) chimeras"" generated by transplantation of KLF4(-/-) fetal livers cells into lethally irradiated wild-type mice completely lacked circulating inflammatory (CD115(+)Gr1(+)) monocytes, and had reduced numbers of resident (CD115(+)Gr1(-)) monocytes."
743,0,Previous use of antibiotics decreases the risk of developing a first-time acute myocardial infarction.,NOT_SUPPORTED,0.47526654601097107,True,OBJECTIVE To determine whether previous use of antibiotics decreases the risk of developing a first-time acute myocardial infarction.
783,0,CD11b+ monocytes abrogate Th17 CD4+ T cell-mediated experimental autoimmune myocarditis.,SUPPORTED,0.9815617203712463,False,CD11b+ monocytes abrogate Th17 CD4+ T cell-mediated experimental autoimmune myocarditis.
808,0,The lysosomal cysteine proteases cathepsins B and L are involved in the degradation of beta-amyloid precursor proteins.,NOT_SUPPORTED,0.026789937168359756,True,Processing of the beta-amyloid precursor.
823,0,N348I mutation in the RT connection domain in clinical isolates.,SUPPORTED,0.9836861491203308,False,"The British Columbia Centre for Excellence in HIV/AIDS (the Centre) genotypes clinical isolates up to codon 400 in RT, and our retrospective statistical analyses of the Centre’s database have identified an N348I mutation in the RT connection domain in treatment-experienced individuals."
957,0,Molecular mechanisms of podocyte morphology and their regulation of the expression of podocalyxin.,SUPPORTED,0.906396210193634,False,"RNA interference and dominant-negative mutant expression analyses revealed that neural WASP (N-WASP), Arp2/3 complex, and their upstream regulators, Nck1, Cdc42, and WIP, are necessary for invadopodium formation."
967,0,The role of the N-WASP–Arp2/3 complex pathway and cofilin in invadopodium formation in metastatic carcinoma cells.,SUPPORTED,0.7058753967285156,False,Cortactin regulates cofilin and N-WASp activities to control the stages of invadopodium assembly and maturation Invadopodia are matrix-degrading membrane protrusions in invasive carcinoma cells.
