run_id,bucket,count,fraction
bm25__whole_document|vs|all-MiniLM-L6-v2__whole_document,a_only,24,0.080000
bm25__whole_document|vs|all-MiniLM-L6-v2__whole_document,b_only,23,0.076667
bm25__whole_document|vs|all-MiniLM-L6-v2__whole_document,both_miss,38,0.126667
bm25__whole_document|vs|all-MiniLM-L6-v2__whole_document,both_answer,215,0.716667
bm25__whole_document|vs|bge-small-en-v1.5__fixed_window,a_only,15,0.050000
bm25__whole_document|vs|bge-small-en-v1.5__fixed_window,b_only,30,0.100000
bm25__whole_document|vs|bge-small-en-v1.5__fixed_window,both_miss,31,0.103333
bm25__whole_document|vs|bge-small-en-v1.5__fixed_window,both_answer,224,0.746667
bm25__whole_document|vs|bge-small-en-v1.5__sentence_window,a_only,14,0.046667
bm25__whole_document|vs|bge-small-en-v1.5__sentence_window,b_only,32,0.106667
bm25__whole_document|vs|bge-small-en-v1.5__sentence_window,both_miss,29,0.096667
bm25__whole_document|vs|bge-small-en-v1.5__sentence_window,both_answer,225,0.750000
bm25__whole_document|vs|bge-small-en-v1.5__whole_document,a_only,15,0.050000
bm25__whole_document|vs|bge-small-en-v1.5__whole_document,b_only,33,0.110000
bm25__whole_document|vs|bge-small-en-v1.5__whole_document,both_miss,28,0.093333
bm25__whole_document|vs|bge-small-en-v1.5__whole_document,both_answer,224,0.746667
bm25__whole_document|vs|bm25__fixed_window,a_only,4,0.013333
bm25__whole_document|vs|bm25__fixed_window,b_only,3,0.010000
bm25__whole_document|vs|bm25__fixed_window,both_miss,58,0.193333
bm25__whole_document|vs|bm25__fixed_window,both_answer,235,0.783333
bm25__whole_document|vs|bm25__sentence_window,a_only,8,0.026667
bm25__whole_document|vs|bm25__sentence_window,b_only,4,0.013333
bm25__whole_document|vs|bm25__sentence_window,both_miss,57,0.190000
bm25__whole_document|vs|bm25__sentence_window,both_answer,231,0.770000
