run_id,retriever,reference_run_id,metric,is_primary,mean_diff,ci_lower,ci_upper,p_value_raw,p_value_adjusted,n_shared_queries,verdict
bge-small-en-v1.5__fixed_window,bge-small-en-v1.5,bm25__whole_document,recall_at_1,False,0.059,0.007220833333333336,0.11066666666666668,0.022497750224977502,n/a,300,n/a
bge-small-en-v1.5__fixed_window,bge-small-en-v1.5,bm25__whole_document,recall_at_5,False,0.052666666666666674,0.006444444444444448,0.10011249999999998,0.030496950304969503,n/a,300,n/a
bge-small-en-v1.5__fixed_window,bge-small-en-v1.5,bm25__whole_document,recall_at_10,False,0.05622222222222222,0.013666666666666666,0.09944444444444445,0.010298970102989701,n/a,300,n/a
bge-small-en-v1.5__fixed_window,bge-small-en-v1.5,bm25__whole_document,recall_at_20,False,0.04805555555555556,0.006111111111111113,0.09100138888888887,0.030896910308969103,n/a,300,n/a
bge-small-en-v1.5__fixed_window,bge-small-en-v1.5,bm25__whole_document,mrr_at_10,False,0.058853174603174595,0.019288260582010584,0.0997264880952381,0.0053994600539946005,n/a,300,n/a
bge-small-en-v1.5__sentence_window,bge-small-en-v1.5,bm25__whole_document,ndcg_at_10,True,0.062421268939538026,0.0256611547726975,0.09957366427748879,0.0012998700129987,0.0077992200779922,300,significant
bge-small-en-v1.5__sentence_window,bge-small-en-v1.5,bm25__whole_document,recall_at_1,False,0.06233333333333333,0.010495833333333336,0.11416666666666667,0.016698330166983303,n/a,300,n/a
bge-small-en-v1.5__sentence_window,bge-small-en-v1.5,bm25__whole_document,recall_at_5,False,0.04255555555555556,-0.006888888888888888,0.09211388888888886,0.09869013098690131,n/a,300,n/a
bge-small-en-v1.5__sentence_window,bge-small-en-v1.5,bm25__whole_document,recall_at_10,False,0.06888888888888889,0.024888888888888887,0.11277777777777778,0.0014998500149985001,n/a,300,n/a
bge-small-en-v1.5__sentence_window,bge-small-en-v1.5,bm25__whole_document,recall_at_20,False,0.04738888888888889,0.006444444444444446,0.08850138888888888,0.0240975902409759,n/a,300,n/a
bge-small-en-v1.5__sentence_window,bge-small-en-v1.5,bm25__whole_document,mrr_at_10,False,0.058178571428571434,0.017539649470899466,0.09892876984126978,0.0053994600539946005,n/a,300,n/a
bge-small-en-v1.5__whole_document,bge-small-en-v1.5,bm25__whole_document,ndcg_at_10,True,0.0681116654178891,0.02917563280975496,0.10688196247434441,0.0005999400059994001,0.004199580041995801,300,significant
bge-small-en-v1.5__whole_document,bge-small-en-v1.5,bm25__whole_document,recall_at_1,False,0.07122222222222223,0.016775000000000005,0.1255583333333333,0.0105989401059894,n/a,300,n/a
bge-small-en-v1.5__whole_document,bge-small-en-v1.5,bm25__whole_document,recall_at_5,False,0.03683333333333334,-0.010166666666666666,0.08488888888888889,0.1354864513548645,n/a,300,n/a
bge-small-en-v1.5__whole_document,bge-small-en-v1.5,bm25__whole_document,recall_at_10,False,0.07122222222222223,0.026333333333333334,0.11699999999999998,0.0024997500249975004,n/a,300,n/a
bge-small-en-v1.5__whole_document,bge-small-en-v1.5,bm25__whole_document,recall_at_20,False,0.04305555555555556,-0.00111111111111111,0.0871694444444444,0.05749425057494251,n/a,300,n/a
bge-small-en-v1.5__whole_document,bge-small-en-v1.5,bm25__whole_document,mrr_at_10,False,0.06585582010582011,0.023552347883597884,0.1082375992063492,0.0021997800219978004,n/a,300,n/a
bm25__fixed_window,bm25,bm25__whole_document,ndcg_at_10,True,-0.013113537919792998,-0.02988026428203187,0.0034491526927108045,0.1197880211978802,0.4791520847915208,300,indistinguishable
bm25__fixed_window,bm25,bm25__whole_document,recall_at_1,False,-0.013333333333333334,-0.04,0.013333333333333334,0.47755224477552244,n/a,300,n/a
bm25__fixed_window,bm25,bm25__whole_document,recall_at_5,False,-0.02038888888888889,-0.04527777777777777,0.003112499999999981,0.11238876112388761,n/a,300,n/a
bm25__fixed_window,bm25,bm25__whole_document,recall_at_10,False,-0.005,-0.023333333333333334,0.013333333333333334,0.7265273472652735,n/a,300,n/a
bm25__fixed_window,bm25,bm25__whole_document,recall_at_20,False,-0.01577777777777778,-0.03733333333333333,0.004444444444444445,0.16848315168483152,n/a,300,n/a
bm25__fixed_window,bm25,bm25__whole_document,mrr_at_10,False,-0.015063492063492064,-0.03520370370370371,0.004596858465608461,0.1356864313568643,n/a,300,n/a
bm25__sentence_window,bm25,bm25__whole_document,ndcg_at_10,True,-0.04166145945463049,-0.06411912584528577,-0.019912579568365212,0.00039996000399960006,0.0031996800319968005,300,significant
bm25__sentence_window,bm25,bm25__whole_document,recall_at_1,False,-0.04666666666666667,-0.08333333333333333,-0.010833333333333334,0.015398460153984602,n/a,300,n/a
bm25__sentence_window,bm25,bm25__whole_document,recall_at_5,False,-0.04844444444444444,-0.08055555555555555,-0.017330555555555596,0.0030996900309969004,n/a,300,n/a
bm25__sentence_window,bm25,bm25__whole_document,recall_at_10,False,-0.017666666666666667,-0.03933333333333334,0.003666666666666667,0.1312868713128687,n/a,300,n/a
bm25__sentence_window,bm25,bm25__whole_document,recall_at_20,False,-0.024611111111111108,-0.0475,-0.003611111111111111,0.030996900309969003,n/a,300,n/a
bm25__sentence_window,bm25,bm25__whole_document,mrr_at_10,False,-0.04762301587301588,-0.07455902777777779,-0.02175849867724869,9.999000099990002e-05,n/a,300,n/a
